Datum/Uhrzeit;Preis;Bezeichnung;Menge;Zahlung;Bonnr.
05.07.2024 09:58:21;0,00;Erw. Saisoinkarte - Besucher -;1;Bar;00053
05.07.2024 10:12:19;0,00;Familienkarte          6 Wochen      - Besucher -;1;Bar;00054
05.07.2024 10:14:21;0,00;Erw. Saisoinkarte - Besucher -;1;Bar;00055
05.07.2024 11:06:42;325,00;Einlage: Anfangsbestand als Einzahlung eingebucht. Kurt Genz 11:06 am 5.7.2024;1;Bar;00056
05.07.2024 12:55:18;105,00;Saisonkarte Erwachsen;1;EC-Cash;00057
05.07.2024 13:31:23;4,50;Kind Tageskarte;1;Bar;00058
05.07.2024 13:32:03;4,50;Kind Tageskarte;1;Bar;00059
05.07.2024 13:35:15;4,50;Kind Tageskarte;1;Bar;00060
05.07.2024 13:54:04;4,50;Kind Tageskarte;1;Bar;00061
05.07.2024 13:55:11;4,50;Kind Tageskarte;1;Bar;00062
05.07.2024 13:56:39;37,00;Zehnerkarte    Ermäßigt;1;Bar;00063
05.07.2024 15:11:35;60,00;Saisonkarte ermäßigt;1;Bar;00064
05.07.2024 15:38:03;105,00;Saisonkarte Erwachsen;1;Bar;00065
05.07.2024 16:06:00;185,00;Saisonkarte Familie 6W;1;EC-Cash;00066
05.07.2024 17:52:35;-60,00;Saisonkarte ermäßigt;1;Bar;00067
05.07.2024 18:09:37;-189,50;Entnahme: Entnahme;1;Bar;00068
06.07.2024 10:02:41;115,00;Saisonkarte Familie 3W;1;Bar;00069
06.07.2024 10:19:28;185,00;Saisonkarte Familie 6W;1;Bar;00070
06.07.2024 10:42:49;105,00;Saisonkarte Erwachsen;1;Bar;00071
06.07.2024 11:02:37;105,00;Saisonkarte Erwachsen;1;Bar;00072
06.07.2024 11:02:37;105,00;Saisonkarte Erwachsen;1;Bar;00072
06.07.2024 12:13:25;4,50;Kind Tageskarte;1;Bar;00073
06.07.2024 12:13:57;4,50;Kind Tageskarte;1;Bar;00074
06.07.2024 12:16:30;2,00;Wasserspritze;1;Bar;00075
06.07.2024 13:03:54;18,00;Fam Tageskarte;1;Bar;00076
06.07.2024 13:08:28;4,50;Kind Tageskarte;1;Bar;00077
06.07.2024 13:11:42;18,00;Fam Tageskarte;1;Bar;00078
06.07.2024 13:13:03;3,00;Wasserball;1;Bar;00079
06.07.2024 13:46:30;185,00;Saisonkarte Familie 6W;1;EC-Cash;00080
06.07.2024 13:56:26;4,50;Kind Tageskarte;1;Bar;00081
06.07.2024 13:58:55;4,50;Kind Tageskarte;1;Bar;00082
06.07.2024 13:58:55;4,50;Kind Tageskarte;1;Bar;00082
06.07.2024 14:10:49;115,00;Saisonkarte Familie 3W;1;EC-Cash;00083
06.07.2024 14:10:49;60,00;Saisonkarte ermäßigt;1;EC-Cash;00083
06.07.2024 14:58:02;60,00;Saisonkarte ermäßigt;1;Bar;00084
06.07.2024 14:59:19;4,50;Kind Tageskarte;1;Bar;00085
06.07.2024 14:59:26;4,50;Kind Tageskarte;1;Bar;00086
06.07.2024 14:59:44;4,50;Kind Tageskarte;1;Bar;00087
06.07.2024 15:02:38;185,00;Saisonkarte Familie 6W;1;EC-Cash;00088
06.07.2024 15:05:52;185,00;Saisonkarte Familie 6W;1;EC-Cash;00089
06.07.2024 15:07:37;105,00;Saisonkarte Erwachsen;1;Bar;00090
06.07.2024 15:55:26;105,00;Saisonkarte Erwachsen;1;EC-Cash;00091
06.07.2024 16:38:11;7,00;Erw. Tageskarte;1;Bar;00092
06.07.2024 16:41:39;60,00;Zehnerkarte Erwachsen;1;EC-Cash;00093
06.07.2024 16:41:39;0,00;Kind Zehnerkarte - Besucher - ;1;EC-Cash;00093
06.07.2024 16:41:39;37,00;Zehnerkarte    Ermäßigt;1;EC-Cash;00093
06.07.2024 16:47:53;4,50;Kind Tageskarte;1;Bar;00094
07.07.2024 10:22:43;60,00;Zehnerkarte Erwachsen;1;Bar;00096
07.07.2024 10:23:26;4,50;Kind Tageskarte;1;Bar;00097
07.07.2024 11:19:23;4,50;Kind Tageskarte;1;Bar;00098
07.07.2024 11:30:27;60,00;Zehnerkarte Erwachsen;1;EC-Cash;00099
07.07.2024 11:30:27;37,00;Zehnerkarte    Ermäßigt;1;EC-Cash;00099
07.07.2024 11:47:14;4,50;Kind Tageskarte;1;Bar;00100
07.07.2024 11:47:14;4,50;Kind Tageskarte;1;Bar;00100
07.07.2024 12:09:05;4,50;Kind Tageskarte;1;Bar;00101
07.07.2024 12:11:18;2,00;Wasserspritze;1;Bar;00102
07.07.2024 12:11:18;4,50;Kind Tageskarte;1;Bar;00102
07.07.2024 12:11:47;4,50;Kind Tageskarte;1;Bar;00103
07.07.2024 12:32:18;185,00;Saisonkarte Familie 6W;1;EC-Cash;00104
07.07.2024 13:00:32;185,00;Saisonkarte Familie 6W;1;EC-Cash;00105
07.07.2024 14:32:57;4,50;Kind Tageskarte;1;Bar;00106
07.07.2024 15:37:50;105,00;Saisonkarte Erwachsen;1;EC-Cash;00107
07.07.2024 15:55:53;18,00;Fam Tageskarte;1;Bar;00108
07.07.2024 15:58:51;185,00;Saisonkarte Familie 6W;1;EC-Cash;00109
07.07.2024 16:00:08;7,00;Erw. Tageskarte;1;Bar;00110
07.07.2024 16:45:26;185,00;Saisonkarte Familie 6W;1;EC-Cash;00111
07.07.2024 16:59:17;7,00;Erw. Tageskarte;1;Bar;00112
07.07.2024 16:59:17;4,50;Kind Tageskarte;1;Bar;00112
07.07.2024 16:59:17;4,50;Kind Tageskarte;1;Bar;00112
07.07.2024 17:15:25;0,00;Frei;1;Bar;00113
07.07.2024 19:30:43;105,00;Saisonkarte Erwachsen;1;EC-Cash;00114
07.07.2024 19:35:12;-1.019,00;Entnahme: Entnahme;1;Bar;00115
08.07.2024 11:29:08;105,00;Saisonkarte Erwachsen;1;Bar;00116
