Datum/Uhrzeit;Preis;Bezeichnung;Menge;Zahlung;Bonnr.;
15.07.2025 09:56:00;7,00;Erw. Tageskarte;1;Bar;05449;
15.07.2025 10:32:43;7,00;Erw. Tageskarte;1;Bar;05450;
15.07.2025 10:46:27;7,00;Erw. Tageskarte;1;Bar;05451;
15.07.2025 10:47:41;7,00;Erw. Tageskarte;1;Bar;05452;
15.07.2025 11:01:11;7,00;Erw. Tageskarte;1;Bar;05453;
15.07.2025 11:02:43;4,50;Kind Tageskarte;1;Bar;05454;
15.07.2025 11:04:27;4,50;Kind Tageskarte;1;Bar;05455;
15.07.2025 11:04:51;7,00;Erw. Tageskarte;1;Bar;05456;
15.07.2025 11:07:04;7,00;Erw. Tageskarte;1;Bar;05457;
15.07.2025 11:19:58;37,00;Zehnerkarte    Ermäßigt;1;Bar;05458;
15.07.2025 11:20:46;4,50;Kind Tageskarte;1;Bar;05459;
15.07.2025 11:23:21;7,00;Erw. Tageskarte;1;Bar;05460;
15.07.2025 11:24:40;7,00;Erw. Tageskarte;1;EC-Cash;05461;
15.07.2025 11:24:40;7,00;Erw. Tageskarte;1;EC-Cash;05461;
15.07.2025 11:27:53;60,00;Zehnerkarte Erwachsen;1;EC-Cash;05462;
15.07.2025 11:45:03;4,50;Kind Tageskarte;1;Bar;05463;
15.07.2025 12:16:23;4,50;Kind Tageskarte;1;Bar;05464;
15.07.2025 12:38:43;4,50;Kind Tageskarte;1;Bar;05465;
15.07.2025 12:38:43;4,50;Kind Tageskarte;1;Bar;05465;
15.07.2025 12:38:43;7,00;Erw. Tageskarte;1;Bar;05465;
15.07.2025 12:44:57;7,00;Erw. Tageskarte;1;Bar;05466;
15.07.2025 13:07:14;60,00;Zehnerkarte Erwachsen;1;Bar;05467;
15.07.2025 14:11:06;7,00;Erw. Tageskarte;1;Bar;05468;
15.07.2025 14:11:06;7,00;Erw. Tageskarte;1;Bar;05468;
15.07.2025 14:11:06;7,00;Erw. Tageskarte;1;Bar;05468;
15.07.2025 14:11:06;7,00;Erw. Tageskarte;1;Bar;05468;
15.07.2025 14:17:01;18,00;Fam Tageskarte;1;Bar;05469;
15.07.2025 14:34:29;60,00;Zehnerkarte Erwachsen;1;Bar;05470;
15.07.2025 14:38:54;4,50;Kind Tageskarte;1;Bar;05471;
15.07.2025 14:38:54;4,50;Kind Tageskarte;1;Bar;05471;
15.07.2025 14:45:59;4,50;Kind Tageskarte;1;Bar;05472;
15.07.2025 15:00:19;7,00;Erw. Tageskarte;1;Bar;05473;
15.07.2025 15:19:56;7,00;Erw. Tageskarte;1;Bar;05474;
